EVM0001809	LOC-Os04g16970
EVM0016651	LOC-Os10g03830
EVM0015302	LOC-Os05g51754
EVM0021303	LOC-Os03g01110
EVM0027001	LOC-Os12g34854
EVM0021157	LOC-Os06g05920
EVM0030815	LOC-Os07g33440
EVM0030926	LOC-Os03g53920
EVM0007870	LOC-Os03g50860
EVM0011779	LOC-Os01g66110
EVM0003774	LOC-Os04g43560
EVM0031526	LOC-Os07g38490
EVM0008704	LOC-Os03g12120
EVM0031670	LOC-Os06g03540
EVM0033580	LOC-Os08g16610
EVM0030250	LOC-Os02g26320
EVM0020600	LOC-Os01g35050
EVM0009228	LOC-Os03g57280
EVM0013145	LOC-Os06g46920
EVM0035693	LOC-Os11g19130
EVM0008264	LOC-Os05g03910
EVM0006984	LOC-Os04g32330
EVM0020167	LOC-Os03g31550
EVM0018556	LOC-Os12g33300
EVM0013838	LOC-Os01g48280
EVM0012282	LOC-Os05g14194
EVM0005529	LOC-Os02g26210
EVM0022105	LOC-Os11g38030
EVM0007485	LOC-Os01g72980
EVM0034782	LOC-Os07g36150
EVM0010419	LOC-Os02g47140
EVM0017498	LOC-Os07g39630
EVM0009277	LOC-Os01g72600
EVM0019777	LOC-Os01g68830
EVM0023254	LOC-Os06g47900
EVM0005212	LOC-Os01g40480
EVM0035579	LOC-Os01g53070
EVM0019323	LOC-Os08g44560
EVM0028311	LOC-Os03g07840
EVM0002693	LOC-Os02g07350
EVM0021580	LOC-Os10g42550
EVM0028291	LOC-Os08g41390
EVM0031212	LOC-Os03g28400
EVM0013908	LOC-Os06g44410
EVM0005129	LOC-Os02g44810
EVM0015053	LOC-Os02g39880
EVM0004087	LOC-Os04g31710
EVM0011866	LOC-Os01g56400
EVM0012754	LOC-Os05g48340
EVM0010063	LOC-Os02g04540
EVM0007451	LOC-Os09g36550
EVM0030990	LOC-Os09g24530
EVM0022846	LOC-Os03g21140
EVM0010939	LOC-Os04g02650
EVM0021630	LOC-Os02g48620
EVM0020933	LOC-Os06g38960
EVM0015173	LOC-Os07g37710
EVM0027841	LOC-Os02g43930
EVM0000960	LOC-Os02g33450
EVM0022052	LOC-Os02g47605
EVM0028667	LOC-Os03g18140
EVM0018781	LOC-Os01g60830
EVM0025104	LOC-Os05g01270
EVM0008740	LOC-Os09g32680
EVM0013209	LOC-Os06g44270
EVM0019067	LOC-Os09g17630
EVM0012156	LOC-Os12g08220
EVM0029070	LOC-Os09g27080
EVM0028366	LOC-Os12g36670
EVM0033770	LOC-Os01g51890
EVM0024846	LOC-Os03g55930
EVM0011327	LOC-Os01g73470
EVM0026260	LOC-Os05g38150
EVM0009738	LOC-Os08g04400
EVM0034793	LOC-Os03g11120
EVM0003247	LOC-Os11g29120
EVM0026240	LOC-Os10g28370
EVM0033835	LOC-Os11g04020
EVM0020205	LOC-Os01g56580
EVM0010764	LOC-Os04g53930
EVM0001162	LOC-Os03g46100
EVM0006233	LOC-Os03g60370
EVM0035201	LOC-Os06g40080
EVM0018677	LOC-Os08g05640
EVM0018825	LOC-Os05g06450
EVM0025318	LOC-Os04g46100
EVM0025920	LOC-Os04g02510
EVM0029045	LOC-Os11g34350
EVM0021316	LOC-Os09g12240
EVM0002283	LOC-Os04g31050
EVM0003462	LOC-Os11g29390
EVM0017460	LOC-Os07g44210
EVM0005830	LOC-Os03g22450
EVM0007895	LOC-Os04g55860
EVM0028766	LOC-Os09g39570
EVM0013166	LOC-Os07g15570
EVM0014413	LOC-Os09g10930
EVM0027971	LOC-Os06g49080
EVM0033945	LOC-Os09g38755
EVM0007705	LOC-Os01g71690
EVM0004448	LOC-Os12g41620
EVM0019461	LOC-Os12g34510
EVM0028377	LOC-Os04g01510
EVM0020033	LOC-Os02g48964
EVM0019368	LOC-Os02g38170
EVM0017184	LOC-Os12g17830
EVM0022330	LOC-Os02g15550
EVM0029666	LOC-Os10g31790
EVM0037230	LOC-Os07g04150
EVM0017547	LOC-Os07g07480
EVM0021885	LOC-Os09g12530
EVM0010331	LOC-Os02g04320
EVM0031252	LOC-Os10g35280
EVM0020716	LOC-Os03g29170
EVM0036284	LOC-Os08g35090
EVM0024165	LOC-Os03g61120
EVM0017765	LOC-Os01g43320
EVM0034616	LOC-Os08g14440
EVM0007871	LOC-Os01g65550
EVM0031585	LOC-Os09g24220
EVM0032175	LOC-Os01g11980
EVM0026545	LOC-Os08g42050
EVM0035698	LOC-Os01g55410
EVM0037089	LOC-Os01g49490
EVM0021145	LOC-Os02g06300
EVM0024682	LOC-Os04g41030
EVM0025828	LOC-Os04g57800
EVM0026502	LOC-Os12g24080
EVM0023465	LOC-Os08g23430
EVM0029444	LOC-Os01g01620
EVM0019836	LOC-Os04g45750
EVM0035660	LOC-Os10g39540
EVM0030852	LOC-Os05g01230
EVM0029188	LOC-Os04g51786
EVM0034842	LOC-Os03g64250
EVM0025290	LOC-Os01g23590
EVM0022092	LOC-Os02g52460
EVM0034036	LOC-Os05g40260
EVM0023953	LOC-Os11g30410
EVM0025848	LOC-Os10g42180
EVM0002154	LOC-Os03g60300
EVM0032978	LOC-Os04g49000
EVM0034329	LOC-Os01g67590
EVM0020545	LOC-Os07g38000
EVM0012118	LOC-Os01g70330
EVM0022247	LOC-Os10g11110
EVM0022486	LOC-Os02g10220
EVM0020966	LOC-Os06g36700
EVM0012163	LOC-Os04g47240
EVM0035149	LOC-Os12g41780
EVM0031842	LOC-Os07g06900
EVM0025076	LOC-Os03g11734
EVM0030768	LOC-Os08g02070
EVM0016238	LOC-Os04g23210
EVM0034350	LOC-Os01g29150
EVM0027931	LOC-Os09g16910
EVM0007378	LOC-Os07g06130
EVM0012366	LOC-Os06g17490
EVM0035382	LOC-Os02g20870
EVM0005247	LOC-Os05g05220
EVM0004612	LOC-Os07g36230
EVM0011986	LOC-Os08g14460
EVM0004122	LOC-Os10g40660
EVM0036451	LOC-Os04g55800
EVM0023191	LOC-Os08g43190
EVM0032578	LOC-Os06g01660
EVM0027962	LOC-Os04g14790
EVM0021922	LOC-Os06g29310
EVM0027160	LOC-Os09g34910
EVM0027423	LOC-Os01g66960
EVM0034475	LOC-Os03g25120
EVM0032211	LOC-Os01g48990
EVM0014971	LOC-Os06g08770
EVM0036935	LOC-Os05g04190
EVM0006910	LOC-Os06g44880
EVM0018329	LOC-Os06g05400
EVM0030206	LOC-Os01g70930
EVM0012942	LOC-Os07g06610
EVM0020490	LOC-Os02g57690
EVM0019464	LOC-Os07g07620
EVM0017924	LOC-Os02g21700
EVM0015949	LOC-Os12g43590
EVM0012435	LOC-Os06g39640
EVM0021135	LOC-Os04g15840
EVM0027466	LOC-Os03g58120
EVM0037068	LOC-Os04g51180
EVM0010692	LOC-Os08g31080
EVM0003312	LOC-Os01g07490
EVM0031144	LOC-Os05g22718
EVM0007209	LOC-Os03g62110
EVM0036220	LOC-Os01g22010
EVM0014283	LOC-Os03g51110
EVM0022251	LOC-Os03g63440
EVM0003232	LOC-Os08g25130
EVM0028187	LOC-Os10g37630
EVM0014069	LOC-Os02g35070
EVM0026130	LOC-Os10g41470
EVM0037338	LOC-Os01g57350
EVM0003513	LOC-Os05g05720
EVM0019656	LOC-Os01g26920
EVM0032127	LOC-Os03g13390
EVM0003464	LOC-Os02g08100
EVM0026811	LOC-Os04g25360
EVM0006146	LOC-Os02g39970
EVM0025742	LOC-Os02g50370
EVM0014041	LOC-Os12g39120
EVM0030708	LOC-Os11g05260
EVM0030325	LOC-Os02g52314
EVM0028870	LOC-Os01g50610
EVM0002440	LOC-Os03g56970
EVM0013401	LOC-Os01g43710
EVM0027078	LOC-Os07g07080
EVM0018059	LOC-Os01g60650
EVM0011131	LOC-Os11g08670
EVM0020445	LOC-Os12g42120
EVM0013392	LOC-Os06g41990
EVM0011889	LOC-Os04g42870
EVM0018999	LOC-Os01g16340
EVM0020917	LOC-Os01g58750
EVM0030424	LOC-Os09g36060
EVM0026707	LOC-Os05g09600
EVM0021214	LOC-Os09g12730
EVM0001495	LOC-Os01g67160
EVM0025155	LOC-Os04g58410
EVM0017174	LOC-Os01g22490
EVM0012043	LOC-Os02g37000
EVM0003087	LOC-Os06g02570
EVM0026272	LOC-Os07g48160
EVM0015654	LOC-Os02g45130
EVM0017902	LOC-Os02g02580
EVM0008047	LOC-Os07g32406
EVM0009794	LOC-Os11g34180
EVM0026330	LOC-Os07g34598
EVM0032145	LOC-Os02g10050
EVM0000033	LOC-Os06g04190
EVM0001347	LOC-Os05g48020
EVM0002761	LOC-Os09g36440
EVM0032205	LOC-Os06g43590
EVM0024586	LOC-Os01g25330
EVM0015431	LOC-Os02g01610
EVM0026419	LOC-Os02g05930
EVM0006419	LOC-Os02g28850
EVM0004471	LOC-Os06g50870
EVM0005109	LOC-Os08g19830
EVM0014332	LOC-Os01g29409
EVM0029852	LOC-Os11g34840
EVM0029534	LOC-Os02g57380
EVM0019074	LOC-Os04g02780
EVM0018990	LOC-Os11g08300
EVM0024263	LOC-Os04g51090
EVM0019962	LOC-Os02g36390
EVM0030160	LOC-Os03g17590
EVM0037231	LOC-Os09g24540
EVM0017056	LOC-Os05g15530
EVM0030392	LOC-Os08g42020
EVM0006020	LOC-Os08g14620
EVM0031272	LOC-Os01g65780
EVM0034538	LOC-Os02g48770
EVM0026478	LOC-Os07g34020
EVM0001279	LOC-Os12g39420
EVM0014798	LOC-Os06g02220
EVM0013383	LOC-Os02g35144
EVM0030239	LOC-Os12g41670
EVM0016686	LOC-Os02g09490
EVM0004321	LOC-Os04g34100
EVM0031017	LOC-Os02g04500
EVM0024330	LOC-Os02g57440
EVM0019483	LOC-Os09g10760
EVM0009201	LOC-Os10g21266
EVM0022922	LOC-Os06g01500
EVM0026207	LOC-Os10g42770
EVM0018963	LOC-Os06g49050
EVM0010789	LOC-Os03g02010
EVM0011908	LOC-Os03g60180
EVM0000890	LOC-Os05g50690
EVM0011617	LOC-Os03g50210
EVM0020841	LOC-Os01g53500
EVM0030242	LOC-Os02g02470
EVM0009126	LOC-Os04g40870
EVM0000242	LOC-Os01g09640
EVM0004008	LOC-Os03g52920
EVM0019007	LOC-Os02g45240
EVM0032234	LOC-Os06g04620
EVM0020870	LOC-Os12g37360
EVM0026321	LOC-Os02g07410
EVM0009111	LOC-Os10g37660
EVM0007462	LOC-Os11g04670
EVM0033515	LOC-Os07g01260
EVM0018538	LOC-Os01g36390
EVM0016035	LOC-Os01g03720
EVM0036425	LOC-Os02g53810
EVM0022558	LOC-Os07g12830
EVM0009426	LOC-Os02g50680
EVM0012086	LOC-Os08g37605
EVM0029811	LOC-Os05g38530
EVM0010131	LOC-Os03g42130
EVM0028022	LOC-Os03g07420
EVM0022110	LOC-Os10g40130
EVM0007798	LOC-Os05g22614
EVM0022527	LOC-Os07g27140
EVM0004193	LOC-Os01g70810
EVM0005859	LOC-Os09g02650
EVM0032481	LOC-Os02g12870
EVM0002423	LOC-Os02g51670
EVM0036131	LOC-Os12g07650
EVM0015942	LOC-Os06g48650
EVM0016242	LOC-Os05g39520
EVM0026775	LOC-Os08g06070
EVM0025440	LOC-Os02g22370
EVM0015026	LOC-Os07g01060
EVM0012848	LOC-Os06g49840
EVM0020814	LOC-Os04g54474
EVM0031737	LOC-Os04g41800
EVM0010075	LOC-Os05g32440
EVM0029604	LOC-Os02g05030
EVM0006340	LOC-Os02g40770
EVM0017752	LOC-Os05g33550
EVM0025906	LOC-Os11g29900
EVM0002305	LOC-Os08g33940
EVM0032100	LOC-Os04g47990
EVM0037312	LOC-Os03g55704
EVM0005616	LOC-Os06g30901
EVM0018496	LOC-Os06g42490
EVM0034543	LOC-Os02g19170
EVM0014278	LOC-Os04g58900
EVM0030909	LOC-Os12g39320
EVM0009244	LOC-Os05g45050
EVM0026800	LOC-Os09g35920
EVM0027769	LOC-Os03g03990
EVM0035010	LOC-Os01g15020
EVM0005386	LOC-Os02g48790
EVM0025241	LOC-Os01g56420
EVM0016377	LOC-Os08g44830
EVM0036198	LOC-Os02g47470
EVM0030895	LOC-Os04g08828
EVM0025264	LOC-Os06g17730
EVM0022789	LOC-Os04g45270
EVM0003116	LOC-Os03g12570
EVM0010141	LOC-Os01g74460
EVM0024855	LOC-Os01g42010
EVM0017985	LOC-Os01g61830
EVM0027311	LOC-Os01g02100
EVM0009510	LOC-Os06g11370
EVM0004723	LOC-Os02g09510
EVM0031468	LOC-Os05g45420
EVM0021493	LOC-Os01g05080
EVM0030163	LOC-Os07g44230
EVM0005881	LOC-Os03g09120
EVM0029792	LOC-Os04g40530
EVM0033033	LOC-Os02g08330
EVM0026194	LOC-Os02g25060
EVM0017277	LOC-Os01g63290
EVM0006699	LOC-Os06g03760
EVM0022912	LOC-Os12g06670
EVM0012235	LOC-Os09g26260
EVM0031461	LOC-Os02g05320
EVM0036644	LOC-Os06g07480
EVM0018313	LOC-Os01g73420
EVM0010975	LOC-Os03g56090
EVM0009469	LOC-Os02g55910
EVM0011259	LOC-Os11g38140
EVM0001767	LOC-Os01g55799
EVM0021261	LOC-Os06g11240
EVM0024431	LOC-Os04g43164
EVM0018560	LOC-Os04g36050
EVM0029360	LOC-Os04g57160
EVM0012055	LOC-Os03g55280
EVM0021039	LOC-Os03g48060
EVM0016639	LOC-Os03g02720
EVM0032076	LOC-Os10g41340
EVM0015243	LOC-Os03g49210
EVM0000550	LOC-Os02g01110
EVM0016605	LOC-Os06g08530
EVM0012095	LOC-Os02g52160
EVM0025815	LOC-Os01g51040
EVM0002370	LOC-Os08g02330
EVM0009501	LOC-Os03g63910
EVM0011987	LOC-Os11g05730
EVM0017645	LOC-Os03g57320
EVM0020803	LOC-Os11g46240
EVM0005766	LOC-Os08g01590
EVM0015551	LOC-Os10g05660
EVM0007638	LOC-Os12g07680
EVM0028806	LOC-Os02g04860
EVM0022986	LOC-Os02g03670
EVM0016480	LOC-Os06g08110
EVM0018247	LOC-Os12g35620
EVM0014199	LOC-Os04g52700
EVM0003716	LOC-Os01g62210
EVM0005213	LOC-Os02g54370
EVM0018848	LOC-Os12g44180
EVM0034917	LOC-Os10g35960
EVM0033136	LOC-Os01g37560
EVM0028900	LOC-Os12g04220
EVM0035474	LOC-Os10g29560
EVM0017239	LOC-Os01g02870
EVM0023000	LOC-Os01g56390
EVM0030015	LOC-Os06g37610
EVM0013044	LOC-Os11g43750
EVM0029173	LOC-Os12g34045
EVM0029351	LOC-Os11g16550
EVM0011559	LOC-Os02g56910
EVM0029990	LOC-Os10g31000
EVM0010729	LOC-Os01g22550
EVM0033937	LOC-Os07g39900
EVM0015282	LOC-Os01g51320
EVM0008442	LOC-Os09g28930
EVM0005914	LOC-Os01g10140
EVM0005413	LOC-Os04g14130
EVM0008385	LOC-Os02g25080
EVM0009059	LOC-Os06g45990
EVM0030657	LOC-Os12g05640
EVM0004873	LOC-Os04g55180
EVM0020715	LOC-Os12g08260
EVM0025760	LOC-Os03g57290
EVM0030508	LOC-Os02g53430
EVM0033510	LOC-Os03g19960
EVM0022783	LOC-Os05g41450
EVM0017741	LOC-Os02g40500
EVM0012174	LOC-Os06g51084
EVM0027449	LOC-Os11g10460
EVM0005679	LOC-Os01g73220
EVM0015318	LOC-Os01g60450
EVM0012716	LOC-Os09g12770
EVM0017627	LOC-Os08g01420
EVM0026640	LOC-Os06g46400
EVM0027321	LOC-Os10g35190
EVM0023825	LOC-Os02g08480
EVM0004588	LOC-Os02g09359
EVM0016412	LOC-Os12g42550
EVM0005976	LOC-Os09g28100
EVM0004409	LOC-Os05g01510
EVM0017115	LOC-Os05g41220
EVM0030405	LOC-Os02g17330
EVM0017851	LOC-Os08g02250
EVM0000322	LOC-Os05g30010
EVM0025671	LOC-Os05g42180
EVM0014148	LOC-Os02g30850
EVM0003389	LOC-Os11g37990
EVM0035874	LOC-Os08g05790
EVM0020514	LOC-Os12g43660
EVM0034491	LOC-Os09g09320
EVM0021238	LOC-Os09g06499
EVM0009688	LOC-Os07g05620
EVM0007191	LOC-Os04g35090
EVM0007489	LOC-Os10g41370
EVM0010001	LOC-Os10g30450
EVM0021856	LOC-Os01g03100
EVM0001242	LOC-Os03g49570
EVM0036895	LOC-Os05g05930
EVM0035666	LOC-Os03g19680
EVM0002535	LOC-Os04g47830
EVM0011534	LOC-Os02g47130
EVM0012301	LOC-Os02g42585
EVM0037165	LOC-Os02g04810
EVM0001349	LOC-Os04g52164
EVM0013060	LOC-Os03g52680
EVM0023717	LOC-Os04g54790
EVM0036315	LOC-Os02g10700
EVM0026670	LOC-Os10g07229
EVM0000048	LOC-Os12g40470
EVM0034639	LOC-Os01g11952
EVM0032353	LOC-Os12g34860
EVM0001025	LOC-Os12g37630
EVM0000847	LOC-Os02g14860
EVM0023617	LOC-Os02g08490
EVM0037366	LOC-Os02g36870
EVM0005051	LOC-Os02g49780
EVM0028673	LOC-Os01g65740
EVM0036900	LOC-Os09g19560
EVM0020247	LOC-Os05g33220
EVM0032532	LOC-Os11g32480
EVM0025527	LOC-Os03g16120
EVM0015671	LOC-Os04g31000
EVM0034974	LOC-Os01g67750
EVM0017780	LOC-Os09g23160
EVM0030599	LOC-Os07g45160
EVM0022461	LOC-Os11g28104
EVM0003472	LOC-Os03g61560
EVM0015911	LOC-Os08g40180
EVM0007959	LOC-Os04g32350
EVM0033184	LOC-Os07g13270
EVM0022743	LOC-Os11g03110
EVM0004131	LOC-Os03g51740
EVM0033618	LOC-Os08g37320
EVM0018126	LOC-Os05g45720
EVM0005819	LOC-Os01g50900
EVM0002064	LOC-Os09g10730
EVM0020389	LOC-Os01g55580
EVM0012014	LOC-Os01g73662
EVM0008884	LOC-Os03g45770
EVM0036586	LOC-Os03g09900
EVM0007078	LOC-Os10g26540
EVM0014503	LOC-Os03g12350
EVM0017625	LOC-Os06g47890
EVM0022771	LOC-Os10g34480
EVM0025464	LOC-Os03g06370
EVM0010238	LOC-Os01g03130
EVM0004843	LOC-Os02g12030
EVM0032552	LOC-Os02g42374
EVM0004543	LOC-Os10g25600
EVM0032629	LOC-Os08g23460
EVM0010830	LOC-Os07g32560
EVM0015145	LOC-Os10g41820
EVM0029125	LOC-Os06g03676
EVM0034376	LOC-Os01g12860
EVM0002308	LOC-Os05g33600
EVM0028946	LOC-Os07g10830
EVM0008218	LOC-Os03g51030
EVM0023571	LOC-Os03g60380
EVM0008620	LOC-Os01g52770
EVM0000898	LOC-Os02g51570
EVM0024461	LOC-Os01g74600
EVM0013207	LOC-Os07g13530
EVM0022844	LOC-Os04g46130
EVM0023059	LOC-Os03g48160
EVM0009831	LOC-Os04g43230
EVM0022304	LOC-Os08g29370
EVM0016722	LOC-Os08g43654
EVM0027677	LOC-Os01g56590
EVM0015040	LOC-Os01g52230
EVM0024696	LOC-Os03g29730
EVM0023256	LOC-Os01g12930
EVM0021147	LOC-Os12g37530
EVM0008323	LOC-Os04g57340
EVM0030881	LOC-Os05g32390
EVM0023737	LOC-Os04g10420
EVM0033590	LOC-Os05g48160
EVM0003478	LOC-Os06g36030
EVM0021788	LOC-Os03g07570
EVM0009415	LOC-Os11g38650
EVM0023124	LOC-Os06g12590
EVM0013548	LOC-Os06g29400
EVM0033262	LOC-Os01g72320
EVM0018010	LOC-Os04g52300
EVM0023323	LOC-Os02g15820
EVM0007360	LOC-Os09g39870
EVM0017276	LOC-Os11g40210
EVM0015739	LOC-Os01g40310
EVM0013583	LOC-Os04g58850
EVM0021776	LOC-Os04g48930
EVM0000591	LOC-Os02g42920
EVM0005166	LOC-Os02g46980
EVM0003873	LOC-Os06g43790
EVM0026009	LOC-Os02g19990
EVM0019804	LOC-Os09g38310
EVM0029980	LOC-Os04g37700
EVM0026923	LOC-Os03g56610
EVM0031786	LOC-Os01g07480
EVM0017618	LOC-Os01g57854
EVM0033292	LOC-Os07g16950
EVM0000880	LOC-Os12g04480
EVM0021926	LOC-Os05g10770
EVM0022541	LOC-Os02g53400
EVM0011130	LOC-Os02g55520
EVM0021826	LOC-Os06g20610
EVM0036491	ChrUn
EVM0010539	LOC-Os02g42540
EVM0036030	LOC-Os11g07030
EVM0037233	LOC-Os01g03080
EVM0007854	LOC-Os03g10850
EVM0000059	LOC-Os06g30370
EVM0030519	LOC-Os03g40310
EVM0027714	LOC-Os12g41930
EVM0008915	LOC-Os03g18580
EVM0002089	LOC-Os02g53200
EVM0006023	LOC-Os09g36230
EVM0030604	LOC-Os05g27880
EVM0001543	LOC-Os03g47470
EVM0001814	LOC-Os02g55590
EVM0008514	LOC-Os05g27590
EVM0022906	LOC-Os10g07270
EVM0018966	LOC-Os02g34750
EVM0027752	LOC-Os03g24450
EVM0030840	LOC-Os03g63554
EVM0034703	LOC-Os05g39930
EVM0003086	LOC-Os06g44890
EVM0001412	LOC-Os04g52000
EVM0007966	LOC-Os10g21396
EVM0022401	LOC-Os05g31780
EVM0036291	LOC-Os01g10290
EVM0005353	LOC-Os04g41340
EVM0007089	LOC-Os06g01440
EVM0019114	LOC-Os07g39220
EVM0006996	LOC-Os02g05330
EVM0034805	LOC-Os10g05750
EVM0032488	LOC-Os01g07090
EVM0015721	LOC-Os02g48680
EVM0003856	LOC-Os07g36470
EVM0016079	LOC-Os03g49480
EVM0015002	LOC-Os06g17830
EVM0021825	LOC-Os05g02650
EVM0022150	LOC-Os06g48960
EVM0016757	LOC-Os03g27970
EVM0026006	LOC-Os03g21900
EVM0000237	LOC-Os11g03990
EVM0022932	LOC-Os08g09200
EVM0024808	LOC-Os02g54500
EVM0007330	LOC-Os06g16070
EVM0028382	LOC-Os05g33280
EVM0004931	LOC-Os03g03830
EVM0035449	LOC-Os03g32090
EVM0008398	LOC-Os03g47980
EVM0016591	LOC-Os09g33820
EVM0012997	LOC-Os07g06880
EVM0002859	LOC-Os01g12200
EVM0000822	LOC-Os02g10390
EVM0029056	LOC-Os10g26610
EVM0024199	LOC-Os01g71970
EVM0028216	LOC-Os05g28090
EVM0024831	LOC-Os03g07250
EVM0006153	LOC-Os09g33980
EVM0030907	LOC-Os09g27610
EVM0015200	LOC-Os04g37630
EVM0034023	LOC-Os03g43420
EVM0005142	LOC-Os06g49670
EVM0011649	LOC-Os01g72090
EVM0025745	LOC-Os03g52470
EVM0035620	LOC-Os06g04460
EVM0028645	LOC-Os06g46500
EVM0023326	LOC-Os02g01100
EVM0000737	LOC-Os01g27730
EVM0019030	LOC-Os11g03580
EVM0020270	LOC-Os08g06020
EVM0031817	LOC-Os08g44870
EVM0000261	LOC-Os06g45840
EVM0007009	LOC-Os01g65840
EVM0005458	LOC-Os05g35470
EVM0008643	LOC-Os10g13914
EVM0007271	LOC-Os02g48110
EVM0030543	LOC-Os01g38530
EVM0000824	LOC-Os10g30290
EVM0006776	LOC-Os09g31380
EVM0031211	LOC-Os01g59360
EVM0028452	LOC-Os01g51280
EVM0017542	LOC-Os01g47330
EVM0022837	LOC-Os08g02360
EVM0032862	LOC-Os06g17285
EVM0007534	LOC-Os02g35000
EVM0020107	LOC-Os03g50090
EVM0021813	LOC-Os03g58810
EVM0028184	LOC-Os04g51792
EVM0029324	LOC-Os08g42730
EVM0022317	LOC-Os11g18880
EVM0022525	LOC-Os02g57470
EVM0018662	LOC-Os08g38980
EVM0005399	LOC-Os05g23840
EVM0026228	LOC-Os07g39280
EVM0021426	LOC-Os02g03000
EVM0028332	LOC-Os03g08740
EVM0036898	LOC-Os07g47140
EVM0024745	LOC-Os02g27740
EVM0015599	LOC-Os02g39890
EVM0021266	LOC-Os03g59480
EVM0008260	LOC-Os07g41730
EVM0006102	LOC-Os11g25040
EVM0031712	LOC-Os02g47120
EVM0006872	LOC-Os05g05830
EVM0025141	LOC-Os07g10495
EVM0025033	LOC-Os02g09430
EVM0009788	LOC-Os06g08730
EVM0031918	LOC-Os01g70550
EVM0033972	LOC-Os12g34870
EVM0006205	LOC-Os03g23935
EVM0032345	LOC-Os05g02880
EVM0021455	LOC-Os01g65950
EVM0003406	LOC-Os07g41900
EVM0026302	LOC-Os09g29160
EVM0031385	LOC-Os04g46880
EVM0030507	LOC-Os07g37760
EVM0002581	LOC-Os07g47100
EVM0019488	LOC-Os02g47000
EVM0014307	LOC-Os04g46120
EVM0020624	LOC-Os08g02550
EVM0032563	LOC-Os02g07960
EVM0018036	LOC-Os09g27620
EVM0031218	LOC-Os06g43930
EVM0024496	LOC-Os02g51600
EVM0012462	LOC-Os06g23460
EVM0016366	LOC-Os03g31170
EVM0017677	LOC-Os06g01360
EVM0031040	LOC-Os04g42140
EVM0002415	LOC-Os06g51250
EVM0027456	LOC-Os06g08380
EVM0035685	LOC-Os03g43800
EVM0033373	LOC-Os05g02510
EVM0032662	LOC-Os02g22020
EVM0005649	LOC-Os03g02310
EVM0035202	LOC-Os02g58020
EVM0004879	LOC-Os08g29770
EVM0034113	LOC-Os01g52920
EVM0020979	LOC-Os06g14370
EVM0003208	LOC-Os07g26700
EVM0023633	LOC-Os10g26060
EVM0005688	LOC-Os04g52290
EVM0010508	LOC-Os06g03530
EVM0005903	LOC-Os06g09930
EVM0011954	LOC-Os02g43480
EVM0020284	LOC-Os01g40990
EVM0009944	LOC-Os08g19610
EVM0013751	LOC-Os02g39070
EVM0010574	LOC-Os12g07270
EVM0010585	LOC-Os01g69900
EVM0016326	LOC-Os01g64490
EVM0016661	LOC-Os01g62480
EVM0017685	LOC-Os03g08410
EVM0027060	LOC-Os03g19760
EVM0011790	LOC-Os09g34860
EVM0006004	LOC-Os03g49640
EVM0003451	LOC-Os03g02920
EVM0011629	LOC-Os12g06780
EVM0003743	LOC-Os05g43360
EVM0000235	LOC-Os05g01675
EVM0035031	LOC-Os11g30430
EVM0024944	LOC-Os08g42870
EVM0007530	LOC-Os02g56520
EVM0036947	LOC-Os11g47840
EVM0030168	LOC-Os06g44620
