EVM0000006	AT1G44760
EVM0000380	AT1G07630
EVM0000381	AT5G18440
EVM0000385	AT2G03760
EVM0000389	AT3G48040
EVM0000391	AT1G13230
EVM0000392	AT5G04320
EVM0000394	AT1G13260
EVM0000401	AT2G42160
EVM0000402	AT1G48405
EVM0000404	AT2G18193
EVM0000405	AT1G47670
EVM0000407	AT5G20240
EVM0000409	AT1G56070
EVM0000415	AT1G65430
EVM0000416	AT2G44230
EVM0000421	AT5G19410
EVM0000422	AT2G45430
EVM0000436	AT2G38000
EVM0000438	AT3G54980
EVM0000441	AT2G04520
EVM0000445	AT3G51040
EVM0000446	AT3G08600
EVM0000448	AT3G51480
EVM0000449	AT2G41810
EVM0000450	AT2G07674
EVM0000456	AT4G29210
EVM0000459	AT1G74120
EVM0000462	AT1G27840
EVM0000464	AT4G03620
EVM0000470	AT1G13810
EVM0000475	AT3G09030
EVM0000478	AT2G44420
EVM0000479	AT1G18790
EVM0000481	AT3G02645
EVM0000485	AT2G31140
EVM0000488	AT2G20810
EVM0000490	AT1G64790
EVM0000497	AT2G18060
EVM0000502	AT1G22410
EVM0000503	AT3G15095
EVM0000504	AT3G49400
EVM0000513	AT5G55810
EVM0000514	AT3G10910
EVM0000520	AT1G29120
EVM0000522	AT5G61030
EVM0000531	AT2G35380
EVM0000532	AT1G17440
EVM0000538	AT5G66420
EVM0000540	AT5G42680
EVM0000542	AT4G12420
EVM0000544	AT3G16730
EVM0000545	AT2G28130
EVM0000546	AT2G36000
EVM0000548	AT5G60930
EVM0000550	AT1G34360
EVM0000551	AT1G27461
EVM0000556	AT3G23390
EVM0000559	AT1G13350
EVM0000560	AT1G07210
EVM0000564	AT2G32640
EVM0000571	AT2G14880
EVM0000572	AT3G46920
EVM0000573	AT1G48940
EVM0000574	AT1G74260
EVM0000576	AT1G23380
EVM0000581	AT1G48380
EVM0000584	AT1G72550
EVM0000585	AT4G11800
EVM0000591	AT5G23850
EVM0000593	AT4G24880
EVM0000598	AT1G49430
EVM0000605	AT3G04020
EVM0000606	AT5G17690
EVM0000609	AT3G07130
EVM0000614	AT4G25600
EVM0000618	AT3G62940
EVM0000620	AT5G44170
EVM0000627	AT1G68370
EVM0000631	AT5G67200
EVM0000635	AT4G10620
EVM0000637	AT5G18410
EVM0000648	AT4G38760
EVM0000654	AT5G50740
EVM0000656	AT4G17010
EVM0000662	AT1G69220
EVM0000663	AT2G36670
EVM0000667	AT5G06390
EVM0000672	AT5G64520
EVM0000674	AT1G60190
EVM0000683	AT3G21820
EVM0000687	AT4G39900
EVM0000688	AT2G37920
EVM0000692	AT4G37380
EVM0000696	AT1G52640
EVM0000705	AT1G23750
EVM0000711	AT4G36850
EVM0000713	AT4G33690
EVM0000714	AT5G64670
EVM0000718	AT1G16800
EVM0000724	AT1G07645
EVM0000727	AT2G20920
EVM0000728	AT1G08220
EVM0000730	AT1G29395
EVM0000737	AT3G07050
EVM0000740	AT1G08450
EVM0000741	AT2G34460
EVM0000751	AT5G15070
EVM0000752	AT1G51350
EVM0000756	AT3G22880
EVM0000770	AT2G43800
EVM0000771	AT1G08260
EVM0000772	AT5G21090
EVM0000778	AT2G32980
EVM0000780	AT1G18080
EVM0000787	AT4G09820
EVM0000790	AT3G49760
EVM0000804	AT4G18880
EVM0000807	AT2G46800
EVM0000808	AT1G50920
EVM0000811	AT3G55730
EVM0000813	AT3G53270
EVM0000818	AT5G49020
EVM0000820	AT1G17160
EVM0000821	AT4G16570
EVM0000822	AT1G61520
EVM0000824	AT1G75900
EVM0000830	AT2G44880
EVM0000831	AT3G10550
EVM0000834	AT4G11080
EVM0000837	AT4G18750
EVM0000838	AT1G64830
EVM0000839	AT4G23730
EVM0000840	AT2G23380
EVM0000843	AT5G52580
EVM0000847	AT1G29990
EVM0000848	AT5G55740
EVM0000849	AT2G36410
EVM0000852	AT2G29190
EVM0000853	AT1G13820
EVM0000859	AT5G60570
EVM0000860	AT2G33260
EVM0000862	AT2G15590
EVM0000864	AT5G10480
EVM0000869	AT5G64630
EVM0000870	AT1G69800
EVM0000877	AT5G49610
EVM0000878	AT1G55325
EVM0000880	AT5G05690
EVM0000881	AT1G80350
EVM0000883	AT2G15280
EVM0000884	AT4G06634
EVM0000887	AT5G63180
EVM0000890	AT4G11690
EVM0000891	AT4G27800
EVM0000892	AT1G10070
EVM0000897	AT1G15330
EVM0000898	AT4G39710
EVM0000899	AT2G15780
EVM0000900	AT3G15220
EVM0000901	AT1G15880
EVM0000905	AT5G65490
EVM0000908	AT3G49142
EVM0000909	AT5G24500
EVM0000916	AT3G61540
EVM0000917	AT4G32600
EVM0000922	AT5G51150
EVM0000925	AT1G71440
EVM0000928	AT5G42800
EVM0000930	AT4G32960
EVM0000932	AT4G32070
EVM0000934	AT5G05340
EVM0000936	AT1G73720
EVM0000941	AT1G07360
EVM0000947	AT5G67290
EVM0000948	AT3G06490
EVM0000957	AT5G11650
EVM0000958	AT5G46090
EVM0000960	AT5G06290
EVM0000965	AT2G01970
EVM0000979	AT2G39670
EVM0000987	AT1G48300
EVM0000989	AT1G08230
EVM0000990	AT2G42600
EVM0000991	AT3G10220
EVM0000994	AT5G42440
EVM0000996	AT1G43850
EVM0001000	AT3G10380
EVM0001003	AT4G32980
EVM0001004	AT3G11730
EVM0001009	AT1G74360
EVM0001010	AT5G03620
EVM0001016	AT4G26790
EVM0001017	AT3G08030
EVM0001021	AT2G04235
EVM0001025	AT1G09280
EVM0001026	AT4G11060
EVM0001029	AT3G04950
EVM0001030	AT1G10140
EVM0001033	AT2G34400
EVM0001034	AT3G28860
EVM0001036	AT4G39370
EVM0001040	AT4G32520
EVM0001041	AT1G17130
EVM0001042	AT1G16350
EVM0001044	AT5G51690
EVM0001045	AT1G75100
EVM0001049	AT4G32480
EVM0001057	AT4G32610
EVM0001063	AT1G28380
EVM0001069	AT1G18640
EVM0001071	AT4G30860
EVM0001072	AT1G27870
EVM0001075	AT5G60340
EVM0001077	AT4G35690
EVM0001082	AT1G21510
EVM0001087	AT5G40030
EVM0001091	AT3G02860
EVM0001095	AT3G09040
EVM0001097	AT2G22560
EVM0001105	AT1G32200
EVM0001109	AT2G01640
EVM0001110	AT2G32950
EVM0001119	AT2G01100
EVM0001130	AT3G10920
EVM0001143	AT5G02830
EVM0001150	AT3G51880
EVM0001158	AT3G51320
EVM0001159	AT3G14690
EVM0001166	AT1G70710
EVM0001170	AT1G53570
EVM0001175	AT4G16820
EVM0001176	AT1G28690
EVM0001181	AT1G21200
EVM0001189	AT1G02610
EVM0001192	AT1G16970
EVM0001193	AT5G05080
EVM0001194	AT4G02485
EVM0001197	AT5G16320
EVM0001199	AT1G27320
EVM0001203	AT1G64500
EVM0001212	AT1G17850
EVM0001213	AT4G11260
EVM0001215	AT3G01370
EVM0001216	AT1G53345
EVM0001222	AT3G10050
EVM0001227	AT4G16835
EVM0001229	AT1G50590
EVM0001230	AT2G02800
EVM0001232	AT2G26270
EVM0001233	AT2G35035
EVM0001235	AT1G27400
EVM0001236	AT3G59850
EVM0001237	AT2G44770
EVM0001239	AT3G57570
EVM0001241	AT2G10950
EVM0001242	AT3G17430
EVM0001244	AT1G29150
EVM0001250	AT5G13420
EVM0001253	AT1G06510
EVM0001254	ATCG00360
EVM0001256	AT4G25420
EVM0001266	AT2G43790
EVM0001270	AT1G51590
EVM0001275	AT5G35160
EVM0001278	AT5G05450
EVM0001279	AT2G26510
EVM0001280	AT1G02680
EVM0001281	AT4G24100
EVM0001283	AT4G30320
EVM0001284	AT5G59800
EVM0001288	AT4G38500
EVM0001292	AT2G32260
EVM0001296	AT1G47870
EVM0001297	AT2G27300
EVM0001298	AT1G64350
EVM0001301	AT5G53150
EVM0001306	AT3G48200
EVM0001311	AT2G47590
EVM0001312	AT5G35740
EVM0001316	AT1G14740
EVM0001317	AT1G77360
EVM0001318	AT1G80750
EVM0001320	AT4G39160
EVM0001324	AT5G60620
EVM0001329	AT3G13780
EVM0001333	AT4G35520
EVM0001335	AT2G46980
EVM0001336	AT3G55010
EVM0001337	AT3G27050
EVM0001338	AT5G66860
EVM0001343	AT4G10390
EVM0001344	AT2G32560
EVM0001347	AT3G09740
EVM0001349	AT4G24510
EVM0001350	AT4G01570
EVM0001361	AT4G12240
EVM0001365	ATMG00660
EVM0001367	AT3G19830
EVM0001376	AT1G78700
EVM0001377	AT4G22910
EVM0001384	AT5G65270
EVM0001386	AT2G46370
EVM0001388	AT4G27410
EVM0001397	AT5G35840
EVM0001400	AT5G45030
EVM0001407	AT4G21790
EVM0001409	AT4G00080
EVM0001417	AT1G48620
EVM0001420	AT3G51580
EVM0001421	AT1G34355
EVM0001423	AT3G04880
EVM0001426	AT3G52870
EVM0001429	AT4G15510
EVM0001431	AT5G15980
EVM0001433	AT1G76980
EVM0001435	AT4G01660
EVM0001436	AT5G14460
EVM0001437	AT1G20970
EVM0001438	AT4G34850
EVM0001442	AT3G17930
EVM0001445	AT3G51870
EVM0001451	AT4G00100
EVM0001453	AT1G73740
EVM0001455	AT3G11600
EVM0001457	AT3G25440
EVM0001459	AT5G01990
EVM0001460	AT5G67270
EVM0001461	AT5G54670
EVM0001462	AT4G04850
EVM0001464	AT1G60770
EVM0001465	AT5G10630
EVM0001467	AT2G21100
EVM0001468	AT2G31340
EVM0001473	AT3G55780
EVM0001474	AT5G52230
EVM0001475	AT1G68140
EVM0001483	AT2G07340
EVM0001484	AT2G44600
EVM0001485	AT5G47900
EVM0001486	AT1G70370
EVM0001488	AT5G62350
EVM0001491	AT5G67230
EVM0001492	AT1G65950
EVM0001494	AT1G34000
EVM0001495	AT2G38620
EVM0001496	AT2G47580
EVM0001498	AT1G09150
EVM0001503	AT2G37090
EVM0001504	AT5G16510
EVM0001505	AT4G34360
EVM0001506	AT4G03080
EVM0001507	AT3G11000
EVM0001510	AT1G78990
EVM0001511	AT5G20820
EVM0001514	AT2G01900
EVM0001519	AT3G33520
EVM0001523	AT1G60060
EVM0001524	AT3G43860
EVM0001525	AT1G26580
EVM0001526	AT1G51760
EVM0001527	AT3G55850
EVM0001528	AT5G03430
EVM0001529	AT5G53210
EVM0001532	AT5G51070
EVM0001541	AT3G27740
EVM0001542	AT1G04430
EVM0001543	AT4G14480
EVM0001544	AT1G15260
EVM0001545	AT1G80310
EVM0001546	AT2G34060
EVM0001547	AT3G04690
EVM0001548	AT5G66870
EVM0001549	AT1G69680
EVM0001551	AT1G07910
EVM0001552	AT2G29260
EVM0001555	AT4G02715
EVM0001559	AT2G40070
EVM0001562	AT5G61880
EVM0001564	AT3G13300
EVM0001565	AT5G18460
EVM0001573	AT3G63500
EVM0001586	AT4G22720
EVM0001589	AT5G37510
EVM0001590	AT3G15080
EVM0001591	AT5G57620
EVM0001592	AT1G77310
EVM0001594	AT2G37310
EVM0001596	AT5G60720
EVM0001597	AT2G20650
EVM0001601	AT5G09640
EVM0001605	AT5G05930
EVM0001607	AT2G37640
EVM0001609	AT3G02010
EVM0001610	AT3G57680
EVM0001614	AT1G28110
EVM0001619	AT1G18490
EVM0001622	AT3G14180
EVM0001625	AT3G56810
EVM0001626	AT4G17910
EVM0001627	AT3G09020
EVM0001632	AT1G30550
EVM0001633	AT4G03965
EVM0001636	AT3G07940
EVM0001640	AT1G60230
EVM0001644	AT1G17455
EVM0001646	AT3G59520
EVM0001647	AT2G24430
EVM0001651	AT2G34680
EVM0001653	AT3G12810
EVM0001654	AT4G13430
EVM0001659	AT2G43630
EVM0001660	AT1G01200
EVM0001664	AT4G24620
EVM0001665	AT4G21300
EVM0001671	AT3G57880
EVM0001674	AT5G08415
EVM0001675	AT3G56100
EVM0001683	AT5G25620
EVM0001685	AT2G34700
EVM0001687	AT3G21540
EVM0001690	AT3G51660
EVM0001692	AT4G21990
EVM0001696	AT3G59840
EVM0001699	AT1G72570
EVM0001706	AT2G39730
EVM0001714	AT2G30210
EVM0001716	AT3G54140
EVM0001722	AT3G14860
EVM0001726	AT1G71250
EVM0001730	ATMG00180
EVM0001731	AT2G44020
EVM0001736	AT1G32050
EVM0001738	AT1G65540
EVM0001739	AT2G38110
EVM0001743	AT1G76400
EVM0001745	AT4G21330
EVM0001747	AT5G16715
EVM0001748	AT4G38460
EVM0001752	AT1G06780
EVM0001754	AT5G54540
EVM0001755	AT3G20600
EVM0001757	AT5G57140
EVM0001766	AT1G61740
EVM0001767	AT3G29400
EVM0001777	AT5G10050
EVM0001780	AT3G21640
EVM0001782	AT1G32340
EVM0001784	AT5G06860
EVM0001787	AT3G09730
EVM0001796	AT5G39670
EVM0001801	AT5G06060
EVM0001805	AT3G18430
EVM0001808	AT3G57830
EVM0001810	AT4G28030
EVM0001811	AT5G65960
EVM0001814	AT2G12400
EVM0001815	AT1G03050
EVM0001820	AT5G05850
EVM0001822	AT5G22070
EVM0001824	AT1G60990
EVM0001825	AT2G36830
EVM0001827	AT4G34730
EVM0001829	AT5G01620
EVM0001832	AT3G43660
EVM0001843	AT1G08200
EVM0001846	AT1G65060
EVM0001847	AT3G62730
EVM0001848	AT5G35700
EVM0001853	AT4G32440
EVM0001854	AT5G24810
EVM0001855	AT1G40087
EVM0001866	AT5G05830
EVM0001867	AT3G04310
EVM0001868	AT1G55510
EVM0001872	AT5G66310
EVM0001873	ATMG00510
EVM0001883	AT5G65220
EVM0001884	AT2G39530
EVM0001886	AT1G71930
EVM0001891	AT3G02080
EVM0001897	AT1G77140
EVM0001900	AT2G16070
EVM0001901	AT1G75980
EVM0001905	AT4G01270
EVM0001911	AT5G48610
EVM0001912	AT5G52882
EVM0001919	AT1G79430
EVM0001925	AT1G21065
EVM0001926	AT1G15550
EVM0001927	AT5G13450
EVM0001934	AT4G03270
EVM0001937	AT2G21240
EVM0001941	AT4G23940
EVM0001946	AT1G44350
EVM0001950	AT1G63980
EVM0001957	AT5G55630
EVM0001959	AT2G02480
EVM0001960	AT2G14520
EVM0001968	AT5G08180
EVM0001975	AT1G68590
EVM0001976	AT4G37940
EVM0001978	AT3G50845
EVM0001979	AT3G60800
EVM0001980	AT2G27800
EVM0001981	AT1G07380
EVM0001982	AT1G34320
EVM0001983	ATMG00410
EVM0001987	AT3G13890
EVM0001993	AT1G30520
EVM0002003	AT1G65470
EVM0002005	AT3G47610
EVM0002009	ATMG00960
EVM0002010	AT1G12520
EVM0002011	AT4G14790
EVM0002017	AT5G50110
EVM0002020	AT4G27940
EVM0002025	AT3G18240
EVM0002029	AT1G52620
EVM0002030	AT1G56230
EVM0002035	AT5G38600
EVM0002041	AT1G68560
EVM0002044	AT5G41990
EVM0002055	AT5G49580
EVM0002058	AT5G06300
EVM0002060	AT2G30580
EVM0002064	AT5G06790
EVM0002068	AT3G58750
EVM0002069	AT2G47410
EVM0002072	AT3G10120
EVM0002074	AT5G40800
EVM0002078	AT5G27410
EVM0002082	AT1G59870
EVM0002085	AT3G14840
EVM0002088	AT3G24060
EVM0002089	AT2G05790
EVM0002095	AT1G21700
EVM0002097	AT4G17050
EVM0002100	AT5G01920
EVM0002101	AT1G22360
EVM0002106	AT1G27300
EVM0002108	AT5G48600
EVM0002115	AT4G11970
EVM0002118	AT1G19870
EVM0002119	AT3G27730
EVM0002121	AT2G14255
EVM0002127	AT1G67930
EVM0002128	AT3G50590
EVM0002131	AT3G02300
EVM0002135	AT4G28365
EVM0002137	AT1G64720
EVM0002140	AT5G39250
EVM0002142	AT2G34670
EVM0002143	AT2G03120
EVM0002149	AT2G02860
EVM0002150	AT2G27350
EVM0002151	AT3G11320
EVM0002153	AT3G12620
EVM0002154	AT2G38320
EVM0002155	AT5G07990
EVM0002156	AT3G26960
EVM0002160	AT3G03330
EVM0002161	AT5G24850
EVM0002164	AT5G05840
EVM0002167	AT5G47010
EVM0002171	AT1G04985
EVM0002173	AT4G31250
EVM0002175	AT5G10700
EVM0002179	AT4G12840
EVM0002181	AT3G55620
EVM0002190	AT3G26720
EVM0002194	AT4G20780
EVM0002195	AT3G10690
EVM0002200	AT5G06900
EVM0002201	AT4G26300
EVM0002204	AT5G51510
EVM0002208	AT2G32390
EVM0002211	AT5G63840
EVM0002213	AT2G30280
EVM0002218	AT5G54090
EVM0002220	AT5G24800
EVM0002221	AT4G37810
EVM0002222	AT5G15130
EVM0002223	AT1G06590
EVM0002228	AT3G47490
EVM0002229	AT1G58340
EVM0002232	AT1G12390
EVM0002235	AT3G28345
EVM0002237	AT4G07390
EVM0002240	AT2G19640
EVM0002244	AT1G03130
EVM0002246	AT1G52980
EVM0002258	AT2G31890
EVM0002262	AT1G79985
EVM0002263	AT4G32410
EVM0002265	AT2G43950
EVM0002267	AT5G12840
EVM0002274	AT5G52300
EVM0002283	AT3G23910
EVM0002284	AT4G34490
EVM0002287	AT1G09380
EVM0002289	AT1G09815
EVM0002292	AT2G36305
EVM0002293	AT1G69870
EVM0002297	AT3G60310
EVM0002298	AT1G55900
EVM0002308	AT1G75130
EVM0002310	AT2G15860
EVM0002321	AT4G22290
EVM0002325	AT4G18100
EVM0002326	AT3G54860
EVM0002331	AT3G15430
EVM0002334	AT1G60710
EVM0002335	AT2G28250
EVM0002337	AT4G38062
EVM0002340	AT3G20340
EVM0002341	AT3G52790
EVM0002350	AT3G12130
EVM0002352	AT3G45850
EVM0002353	AT4G33495
EVM0002355	AT5G38720
EVM0002358	AT1G05960
EVM0002359	AT3G21865
EVM0002360	AT5G14680
EVM0002365	AT3G57360
EVM0002370	AT4G10610
EVM0002378	AT5G24010
EVM0002389	AT3G47120
EVM0002404	AT4G13600
EVM0002408	AT1G13460
EVM0002409	AT1G02860
EVM0002412	AT2G36770
EVM0002415	AT1G21630
EVM0002423	AT1G78080
EVM0002424	AT5G19730
EVM0002425	AT2G21490
EVM0002427	AT1G62640
EVM0002428	AT3G15540
EVM0002436	AT2G05320
EVM0002438	AT2G17900
EVM0002440	AT3G60830
EVM0002441	AT4G02720
EVM0002444	AT5G53560
EVM0002446	AT1G12700
EVM0002456	AT5G19080
EVM0002458	AT5G55950
EVM0002461	AT1G80170
EVM0002463	AT1G50320
EVM0002464	AT3G51630
EVM0002471	AT5G22080
EVM0002486	AT4G32180
EVM0002487	AT5G62890
EVM0002506	AT2G45730
EVM0002507	AT1G63430
EVM0002510	AT1G05440
EVM0002512	AT3G63530
EVM0002514	AT1G03110
EVM0002516	AT1G32330
EVM0002520	AT4G12340
EVM0002528	AT5G46800
EVM0002530	AT3G19510
EVM0002531	AT4G21580
EVM0002534	AT5G60540
EVM0002535	AT2G02090
EVM0002536	AT5G11010
EVM0002538	AT3G09010
EVM0002540	AT5G52860
EVM0002542	AT2G01600
EVM0002544	AT4G19110
EVM0002545	AT2G25840
EVM0002547	AT5G66780
EVM0002553	AT5G52510
EVM0002556	AT1G71140
EVM0002557	AT5G05230
EVM0002563	AT1G19150
EVM0002569	AT4G13010
EVM0002572	AT3G47700
EVM0002576	AT5G01270
EVM0002580	AT1G05410
EVM0002582	AT3G19490
EVM0002584	AT5G35460
EVM0002589	AT3G04910
EVM0002593	AT3G24750
EVM0002597	AT2G38300
EVM0002602	AT5G19540
EVM0002607	AT1G11080
EVM0002614	AT3G63430
EVM0002618	AT5G11420
EVM0002626	AT4G36440
EVM0002639	AT4G22030
EVM0002640	AT1G54820
EVM0002649	AT1G70780
EVM0002651	AT5G48020
EVM0002657	AT4G01650
EVM0002658	AT1G63940
EVM0002661	AT1G04150
EVM0002666	AT5G53550
EVM0002667	AT1G54940
EVM0002670	AT5G52440
EVM0002671	AT5G24318
EVM0002675	AT4G15850
EVM0002678	AT4G30110
EVM0002679	AT2G42070
EVM0002681	AT3G23100
EVM0002682	AT3G22430
EVM0002687	AT1G63900
EVM0002693	AT1G31190
EVM0002694	AT2G36290
EVM0002695	AT2G46660
EVM0002697	AT1G62730
EVM0002698	AT3G27430
EVM0002699	AT5G25800
EVM0002706	AT4G10000
EVM0002708	AT1G43580
EVM0002712	AT3G05200
EVM0002713	AT3G60640
EVM0002714	AT1G54610
EVM0002715	AT5G57420
EVM0002721	AT3G27890
EVM0002725	AT2G30505
EVM0002726	AT2G44830
EVM0002732	AT1G19520
EVM0002734	AT4G13780
EVM0002736	AT1G55880
EVM0002741	AT4G30840
EVM0002744	AT4G17840
EVM0002748	AT4G35850
EVM0002751	AT1G24040
EVM0002753	AT3G03530
EVM0002755	AT4G21430
EVM0002756	AT3G11690
EVM0002757	AT5G15330
EVM0002761	AT3G10330
EVM0002771	AT5G11320
EVM0002773	AT1G72310
EVM0002774	AT1G68640
EVM0002776	AT4G26630
EVM0002778	AT5G19040
EVM0002779	AT3G11220
EVM0002781	AT5G14790
EVM0002788	AT4G27010
EVM0002789	AT1G68060
EVM0002791	AT2G41820
EVM0002792	AT5G16390
EVM0002794	AT2G25625
EVM0002795	AT5G57160
EVM0002805	AT4G23340
EVM0002806	AT1G75210
EVM0002807	AT5G53050
EVM0002808	AT5G10840
EVM0002815	AT1G09250
EVM0002820	AT3G13690
EVM0002821	AT3G23330
EVM0002823	AT5G51920
EVM0002825	AT1G32190
EVM0002832	AT1G64110
EVM0002835	AT1G10170
EVM0002837	AT2G47330
EVM0002838	AT1G14560
EVM0002844	AT1G10840
EVM0002845	AT3G22380
EVM0002846	AT5G28050
EVM0002850	AT4G11450
EVM0002853	AT3G23490
EVM0002854	AT5G24760
EVM0002859	AT2G46220
EVM0002862	AT1G35180
EVM0002872	AT1G74640
EVM0002874	AT4G17770
EVM0002878	AT5G11730
EVM0002879	AT2G17040
EVM0002880	AT3G63390
EVM0002882	AT5G55540
EVM0002884	AT4G14746
EVM0002886	AT1G53600
EVM0002895	AT5G47780
EVM0002896	AT3G20890
EVM0002899	AT5G64530
EVM0002900	AT5G19530
EVM0002903	AT1G32440
EVM0002906	AT5G51990
EVM0002907	AT1G70940
EVM0002910	AT5G43820
EVM0002911	AT3G48520
EVM0002913	AT3G07670
EVM0002915	AT5G25220
EVM0002918	AT4G39790
EVM0002925	AT4G17830
EVM0002927	AT4G23950
EVM0002932	AT2G06210
EVM0002936	AT3G50560
EVM0002940	AT5G47490
EVM0002943	AT1G31880
EVM0002953	AT5G40710
EVM0002960	AT2G44660
EVM0002961	AT1G35660
EVM0002968	AT2G24230
EVM0002969	AT1G26220
EVM0002970	AT2G33510
EVM0002973	AT4G08170
EVM0002976	AT5G14360
EVM0002979	AT1G12370
EVM0002984	AT2G43970
EVM0002989	AT3G06270
EVM0002999	AT3G53090
EVM0003000	AT2G18465
EVM0003005	AT1G26140
EVM0003007	ATCG00490
EVM0003010	AT2G22190
EVM0003011	AT4G36930
EVM0003013	AT4G31480
EVM0003015	AT5G54010
EVM0003017	AT3G58450
EVM0003018	AT3G42950
EVM0003023	AT1G49230
EVM0003026	AT2G37250
EVM0003032	AT5G65810
EVM0003035	AT4G34480
EVM0003036	AT5G07740
EVM0003039	AT2G37320
EVM0003040	AT2G43400
EVM0003044	AT1G71010
EVM0003046	AT3G14360
EVM0003049	AT2G27460
EVM0003052	AT1G08680
EVM0003056	AT4G14368
EVM0003070	AT2G41690
EVM0003076	AT1G12740
EVM0003077	AT2G32000
EVM0003078	AT2G01740
EVM0003086	AT4G30160
EVM0003087	AT5G26980
EVM0003089	AT5G62140
EVM0003093	AT2G13360
EVM0003095	AT1G47980
EVM0003098	AT5G65020
EVM0003105	AT1G48350
EVM0003108	AT2G45990
EVM0003112	AT3G54200
EVM0003116	AT1G69770
EVM0003118	AT1G79050
EVM0003120	AT3G15110
EVM0003122	AT4G21470
EVM0003123	AT2G04660
EVM0003129	AT2G23630
EVM0003130	AT5G61150
EVM0003133	AT3G58130
EVM0003134	AT3G24800
EVM0003138	AT1G73920
EVM0003141	AT1G43620
EVM0003144	AT3G45300
EVM0003149	AT3G12345
EVM0003151	AT4G25770
EVM0003154	AT5G54280
EVM0003155	AT3G18310
EVM0003156	AT2G40200
EVM0003161	AT3G04030
EVM0003165	AT1G26090
EVM0003166	AT2G03140
EVM0003169	AT1G34470
EVM0003173	AT4G39680
EVM0003174	AT4G37000
EVM0003180	AT1G13870
EVM0003183	AT5G57180
EVM0003185	AT2G16760
EVM0003189	AT5G26960
EVM0003195	AT3G20580
EVM0003198	AT1G74900
EVM0003201	AT2G26690
EVM0003203	AT3G05545
EVM0003204	AT1G71420
EVM0003205	AT4G34220
