EVM0021012	GRMZM5G894156
EVM0021175	GRMZM2G054136
EVM0012326	GRMZM2G177575
EVM0027402	GRMZM2G014071
EVM0001784	GRMZM2G088531
EVM0001925	GRMZM2G141241
EVM0019818	GRMZM2G027451
EVM0015159	GRMZM2G034840
EVM0016322	GRMZM2G170868
EVM0011065	GRMZM2G078097
EVM0030211	GRMZM2G446872
EVM0021133	GRMZM2G133057
EVM0017756	GRMZM2G100146
EVM0017407	GRMZM2G466281
EVM0026795	GRMZM2G081037
EVM0035183	GRMZM5G809546
EVM0020836	GRMZM2G112530
EVM0015907	GRMZM2G161932
EVM0005705	GRMZM2G167085
EVM0000949	GRMZM2G000035
EVM0014224	GRMZM2G046618
EVM0025890	GRMZM2G075104
EVM0010778	GRMZM2G029692
EVM0024540	GRMZM2G158194
EVM0012662	GRMZM2G042704
EVM0019928	GRMZM5G814549
EVM0029296	GRMZM2G348578
EVM0021851	GRMZM2G100754
EVM0007325	GRMZM2G004828
EVM0007664	GRMZM2G046888
EVM0033358	GRMZM2G135073
EVM0027013	GRMZM2G130651
EVM0033119	GRMZM2G068943
EVM0007176	GRMZM2G404762
EVM0009527	GRMZM2G399212
EVM0017777	GRMZM5G868273
EVM0003761	GRMZM2G152007
EVM0014776	GRMZM2G140721
EVM0030198	GRMZM2G075124
EVM0033808	GRMZM2G362281
EVM0016942	GRMZM2G013283
EVM0028488	GRMZM2G166701
EVM0003044	GRMZM2G066876
EVM0005717	GRMZM2G006894
EVM0019053	GRMZM2G139650
EVM0036586	GRMZM2G050159
EVM0015787	GRMZM2G109201
EVM0031290	GRMZM2G024976
EVM0004398	GRMZM2G032962
EVM0027351	GRMZM2G051974
EVM0035780	GRMZM2G165726
EVM0016116	GRMZM2G164493
EVM0006878	GRMZM2G079925
EVM0013481	GRMZM2G375675
EVM0035434	GRMZM2G103579
EVM0014339	GRMZM2G104443
EVM0025693	GRMZM2G035839
EVM0005101	GRMZM2G028928
EVM0005743	GRMZM2G134176
EVM0029652	GRMZM2G171423
EVM0011110	GRMZM2G119778
EVM0035758	GRMZM5G829928
EVM0033032	GRMZM2G457929
EVM0010738	GRMZM2G175661
EVM0022668	GRMZM2G051174
EVM0013500	GRMZM2G110832
EVM0011781	GRMZM2G307720
EVM0021457	GRMZM5G879749
EVM0017346	GRMZM2G445617
EVM0021821	GRMZM5G824597
EVM0000069	GRMZM2G004362
EVM0016112	GRMZM2G164974
EVM0004978	GRMZM2G068193
EVM0024753	GRMZM2G162800
EVM0005108	GRMZM2G124434
EVM0006473	GRMZM5G861800
EVM0016416	GRMZM2G133421
EVM0010152	GRMZM2G164018
EVM0009331	GRMZM2G001363
EVM0031677	GRMZM2G129071
EVM0010886	GRMZM2G362627
EVM0003500	GRMZM2G117746
EVM0012462	GRMZM2G057743
EVM0016962	GRMZM2G428071
EVM0023363	GRMZM2G408305
EVM0013856	GRMZM2G162670
EVM0016136	GRMZM2G095333
EVM0018470	GRMZM5G824336
EVM0032823	GRMZM2G127591
EVM0020090	GRMZM2G019597
EVM0006170	GRMZM2G126580
EVM0026838	GRMZM2G115805
EVM0025815	GRMZM2G091494
EVM0032047	GRMZM2G135456
EVM0011123	GRMZM5G817559
EVM0025702	GRMZM2G307119
EVM0002681	GRMZM2G001869
EVM0018808	GRMZM2G037335
EVM0031342	GRMZM2G090271
EVM0001026	GRMZM2G032847
EVM0000821	GRMZM2G037624
EVM0021121	GRMZM2G438938
EVM0022300	GRMZM5G839422
EVM0012972	GRMZM2G088847
EVM0013597	GRMZM2G004847
EVM0030837	GRMZM2G060567
EVM0024072	GRMZM2G090980
EVM0005377	GRMZM2G017089
EVM0033646	GRMZM2G073755
EVM0032290	GRMZM2G008892
EVM0037169	GRMZM2G168222
EVM0011554	GRMZM2G118362
EVM0001867	GRMZM2G006121
EVM0001270	GRMZM2G130889
EVM0008241	GRMZM2G049021
EVM0030283	GRMZM5G818186
EVM0023413	GRMZM2G100650
EVM0014890	GRMZM2G359314
EVM0007716	GRMZM2G090374
EVM0028255	GRMZM2G078468
EVM0030562	GRMZM2G026180
EVM0024388	GRMZM2G422373
EVM0001836	GRMZM2G168332
EVM0005792	GRMZM2G008444
EVM0011313	GRMZM2G078154
EVM0024315	GRMZM2G100579
EVM0030229	GRMZM2G430680
EVM0012158	GRMZM2G025154
EVM0024855	GRMZM2G072080
EVM0007096	GRMZM2G113078
EVM0005645	GRMZM2G103812
EVM0020050	GRMZM2G077780
EVM0010637	GRMZM2G086943
EVM0003040	GRMZM2G032222
EVM0023106	GRMZM2G131329
EVM0027256	GRMZM2G156818
EVM0025267	GRMZM2G164963
EVM0026801	GRMZM2G079352
EVM0001175	GRMZM2G174860
EVM0014136	GRMZM2G028286
EVM0012062	GRMZM2G102714
EVM0003768	GRMZM2G119316
EVM0005302	GRMZM2G066528
EVM0034329	GRMZM5G863784
EVM0027656	GRMZM2G155329
EVM0032262	GRMZM2G459063
EVM0034640	GRMZM2G150450
EVM0006776	GRMZM2G052908
EVM0031527	GRMZM2G127029
EVM0021922	GRMZM2G072939
EVM0027738	GRMZM2G000686
EVM0010308	GRMZM2G130127
EVM0014541	GRMZM2G075145
EVM0006359	GRMZM2G336908
EVM0011090	GRMZM2G171406
EVM0031959	GRMZM2G045192
EVM0018310	GRMZM2G000451
EVM0008116	GRMZM2G056867
EVM0026966	GRMZM2G139894
EVM0011651	GRMZM2G154059
EVM0035568	GRMZM2G117968
EVM0002556	AC233945.1
EVM0023943	GRMZM2G401934
EVM0014073	GRMZM2G089556
EVM0013572	GRMZM2G034572
EVM0020617	GRMZM2G089308
EVM0036206	GRMZM2G038598
EVM0016368	GRMZM2G122344
EVM0008067	GRMZM2G100976
EVM0001510	GRMZM2G070468
EVM0018846	GRMZM2G022625
EVM0029023	GRMZM2G044627
EVM0014159	GRMZM2G102322
EVM0017449	GRMZM2G004959
EVM0014979	GRMZM2G089056
EVM0006386	GRMZM2G026649
EVM0021584	GRMZM2G063060
EVM0029432	AC217842.3
EVM0024916	GRMZM2G325561
EVM0028344	GRMZM2G025528
EVM0013173	GRMZM2G160569
EVM0012980	GRMZM2G102521
EVM0024519	GRMZM2G111537
EVM0033466	GRMZM2G337425
EVM0005258	GRMZM2G126646
EVM0020998	GRMZM2G098434
EVM0010841	GRMZM2G178576
EVM0026564	GRMZM2G312997
EVM0007485	GRMZM2G481548
EVM0016217	GRMZM5G825321
EVM0012504	GRMZM2G059671
EVM0006131	GRMZM2G393062
EVM0017253	GRMZM2G010640
EVM0019910	GRMZM2G023906
EVM0029792	GRMZM2G100344
EVM0020736	GRMZM2G091632
EVM0027799	GRMZM2G414805
EVM0011840	GRMZM2G069078
EVM0010236	GRMZM2G392649
EVM0035209	GRMZM2G467907
EVM0034563	GRMZM2G088014
EVM0018671	GRMZM2G407361
EVM0020808	GRMZM2G104501
EVM0026419	GRMZM2G177570
EVM0013698	AC233894.1
EVM0033952	GRMZM2G377761
EVM0023306	GRMZM2G157817
EVM0021783	GRMZM2G386138
EVM0027248	GRMZM2G025659
EVM0014503	GRMZM2G099797
EVM0004679	GRMZM2G047968
EVM0024283	GRMZM2G441768
EVM0017306	GRMZM5G817439
EVM0008187	GRMZM2G115621
EVM0026246	GRMZM2G170388
EVM0010914	GRMZM2G472428
EVM0013813	GRMZM2G138583
EVM0023129	GRMZM2G114619
EVM0012532	GRMZM2G067350
EVM0027553	GRMZM2G101457
EVM0025323	GRMZM2G024267
EVM0013537	AC198361.3
EVM0019963	GRMZM2G563728
EVM0022539	GRMZM2G305080
EVM0002404	GRMZM2G119246
EVM0016358	GRMZM2G064547
EVM0021789	GRMZM2G121612
EVM0014398	GRMZM2G136268
EVM0023537	GRMZM2G177812
EVM0032685	GRMZM2G433579
EVM0034088	GRMZM2G106881
EVM0021852	GRMZM2G047002
EVM0022584	GRMZM2G027867
EVM0016622	GRMZM2G576002
EVM0014922	GRMZM2G181192
EVM0016200	GRMZM2G464510
EVM0021472	GRMZM2G166597
EVM0015763	GRMZM2G004582
EVM0027323	GRMZM2G098884
EVM0021035	GRMZM2G426275
EVM0020770	GRMZM2G143613
EVM0012561	GRMZM2G342386
EVM0006924	GRMZM2G091119
EVM0006985	GRMZM2G093736
EVM0008728	GRMZM2G159975
EVM0030163	GRMZM2G126706
EVM0032140	GRMZM2G027462
EVM0021364	GRMZM2G043799
EVM0029007	GRMZM2G351832
EVM0027349	GRMZM2G131683
EVM0016318	GRMZM2G006661
EVM0010450	GRMZM2G059325
EVM0022870	GRMZM2G145063
EVM0026872	GRMZM2G016168
EVM0030052	GRMZM2G400907
EVM0029687	GRMZM2G043174
EVM0004512	GRMZM2G115757
EVM0005639	GRMZM2G473463
EVM0021467	GRMZM2G000825
EVM0030482	GRMZM2G017187
EVM0025628	GRMZM2G034069
EVM0005211	GRMZM2G061562
EVM0032188	GRMZM2G448883
EVM0006614	GRMZM2G003179
EVM0035094	GRMZM2G333833
EVM0000778	GRMZM2G151580
EVM0010896	GRMZM5G887647
EVM0002360	GRMZM2G119258
EVM0021262	GRMZM2G033135
EVM0001244	AC206968.3
EVM0017574	GRMZM2G072029
EVM0021937	AC203031.3
EVM0025055	GRMZM2G080462
EVM0011874	GRMZM2G062470
EVM0001625	GRMZM2G160466
EVM0002582	GRMZM2G053927
EVM0028695	GRMZM2G108225
EVM0031571	GRMZM2G060400
EVM0020987	GRMZM2G179703
EVM0028729	GRMZM2G113202
EVM0001280	GRMZM2G081012
EVM0035790	GRMZM2G048804
EVM0000279	GRMZM2G371793
EVM0031478	GRMZM5G841101
EVM0018372	GRMZM2G171080
EVM0025749	GRMZM5G813111
EVM0031774	GRMZM2G162082
EVM0020668	GRMZM2G466394
EVM0002143	GRMZM2G150251
EVM0031885	GRMZM2G092797
EVM0019778	GRMZM5G878153
EVM0015683	GRMZM2G175280
EVM0032507	GRMZM2G040559
EVM0001181	GRMZM2G301122
EVM0010892	GRMZM2G181484
EVM0011728	GRMZM2G004356
EVM0015949	GRMZM2G006144
EVM0026130	GRMZM2G326066
EVM0030854	GRMZM2G129238
EVM0020577	GRMZM2G081857
EVM0019921	GRMZM2G115152
EVM0034974	GRMZM2G177198
EVM0022319	GRMZM2G083190
EVM0028642	GRMZM2G331638
EVM0030307	GRMZM2G318635
EVM0016163	GRMZM2G090034
EVM0026820	GRMZM2G030128
EVM0004916	GRMZM2G131853
EVM0035284	GRMZM2G134398
EVM0001253	GRMZM5G829563
EVM0015973	GRMZM2G133023
EVM0022619	GRMZM2G172327
EVM0027846	GRMZM2G167548
EVM0009474	GRMZM2G085402
EVM0013102	GRMZM5G869993
EVM0034525	GRMZM2G071360
EVM0029833	GRMZM2G019738
EVM0028898	GRMZM2G091358
EVM0011522	GRMZM2G135968
EVM0034475	GRMZM2G025685
EVM0006801	GRMZM2G092427
EVM0018922	GRMZM2G079031
EVM0033899	GRMZM2G329750
EVM0006699	GRMZM5G871262
EVM0009410	GRMZM2G701297
EVM0000322	GRMZM2G325804
EVM0010153	GRMZM2G022558
EVM0023042	GRMZM5G813584
EVM0036839	GRMZM2G127067
EVM0014860	GRMZM2G135586
EVM0016496	GRMZM2G000964
EVM0000250	GRMZM5G881996
EVM0022568	GRMZM2G074282
EVM0020917	GRMZM2G702059
EVM0012862	GRMZM2G027052
EVM0007017	GRMZM2G156581
EVM0003765	GRMZM2G150912
EVM0036276	GRMZM2G021816
EVM0011775	GRMZM2G130207
EVM0020715	GRMZM2G088689
EVM0015043	AC210013.4
EVM0019820	GRMZM2G113382
EVM0001265	GRMZM2G493395
EVM0031472	GRMZM2G016660
EVM0008148	GRMZM2G306679
EVM0024115	GRMZM2G065970
EVM0037206	GRMZM2G107101
EVM0020128	GRMZM2G322413
EVM0018965	GRMZM2G303157
EVM0013363	GRMZM2G046024
EVM0001675	GRMZM2G066274
EVM0027086	GRMZM2G067727
EVM0015383	AC213099.3
EVM0024491	GRMZM5G824137
EVM0016501	GRMZM2G060762
EVM0018031	GRMZM2G148400
EVM0001377	GRMZM2G159427
EVM0019462	GRMZM2G315931
EVM0016048	GRMZM2G455085
EVM0007296	GRMZM2G027309
EVM0030534	GRMZM2G026807
EVM0008744	GRMZM2G467671
EVM0023875	GRMZM2G129781
EVM0003478	GRMZM2G316007
EVM0027908	GRMZM5G842695
EVM0030309	GRMZM2G095239
EVM0000989	GRMZM2G154958
EVM0009153	GRMZM2G578572
EVM0035127	GRMZM2G464491
EVM0022106	GRMZM2G139141
EVM0024211	GRMZM2G503156
EVM0008209	GRMZM2G159643
EVM0012390	GRMZM2G149115
EVM0025235	GRMZM2G094655
EVM0010977	GRMZM2G178005
EVM0016748	GRMZM2G152962
EVM0017080	GRMZM2G077436
EVM0000462	GRMZM2G096802
EVM0028406	GRMZM2G073950
EVM0012721	GRMZM2G132693
EVM0034355	GRMZM2G363535
EVM0023695	GRMZM2G061830
EVM0034357	GRMZM2G181362
EVM0015321	GRMZM2G122061
EVM0037010	GRMZM2G123499
EVM0003655	GRMZM2G374812
EVM0019198	GRMZM2G024180
EVM0024142	GRMZM2G045748
EVM0034406	GRMZM2G410487
EVM0014759	GRMZM5G819212
EVM0009280	GRMZM2G020255
EVM0011461	GRMZM2G704285
EVM0010393	GRMZM2G028190
EVM0013584	GRMZM2G010238
EVM0026247	GRMZM2G004023
EVM0006535	GRMZM2G067601
EVM0002352	GRMZM2G024576
EVM0028952	GRMZM2G083950
EVM0003598	GRMZM2G130224
EVM0032286	GRMZM2G097043
EVM0025181	GRMZM2G047298
EVM0012321	GRMZM2G160237
EVM0013015	GRMZM2G175171
EVM0017041	GRMZM2G087513
EVM0029817	GRMZM2G475293
EVM0024507	GRMZM2G108739
EVM0030668	GRMZM2G107886
EVM0013846	GRMZM2G146346
EVM0013737	GRMZM2G092167
EVM0026086	GRMZM2G330218
EVM0030687	GRMZM2G033884
EVM0033849	GRMZM2G329293
EVM0020017	AC234520.1
EVM0005424	GRMZM2G101287
EVM0014104	GRMZM2G158496
EVM0017482	GRMZM2G043632
EVM0007006	GRMZM2G335978
EVM0020740	GRMZM2G074483
EVM0036515	GRMZM2G344848
EVM0007519	GRMZM2G097977
EVM0012524	GRMZM2G042881
EVM0033360	GRMZM2G041797
EVM0013043	GRMZM2G035170
EVM0018765	GRMZM2G027331
EVM0030144	GRMZM2G111672
EVM0017148	GRMZM2G010389
EVM0006963	GRMZM2G170008
EVM0015313	GRMZM2G174149
EVM0006398	GRMZM2G085827
EVM0002068	GRMZM2G135588
EVM0032293	GRMZM2G149481
EVM0005745	GRMZM2G134889
EVM0006336	GRMZM2G115245
EVM0011549	GRMZM2G168588
EVM0024575	GRMZM5G822098
EVM0033523	GRMZM2G053713
EVM0004221	GRMZM2G061446
EVM0007197	GRMZM2G079219
EVM0034345	GRMZM2G141517
EVM0020147	GRMZM2G121565
EVM0017954	GRMZM2G068710
EVM0022938	GRMZM2G380088
EVM0013433	GRMZM5G807267
EVM0019682	GRMZM2G136996
EVM0003022	GRMZM2G159082
EVM0015722	GRMZM5G895175
EVM0021647	GRMZM2G094535
EVM0008970	GRMZM2G037146
EVM0030823	GRMZM2G158359
EVM0013956	GRMZM2G020187
EVM0030369	GRMZM2G010034
EVM0005707	GRMZM2G113191
EVM0021043	GRMZM2G021339
EVM0009738	GRMZM2G064501
EVM0019074	GRMZM2G169087
EVM0021938	GRMZM2G081105
EVM0010768	GRMZM2G177914
EVM0007451	GRMZM2G163242
EVM0031960	GRMZM2G155889
EVM0000979	GRMZM2G168412
EVM0029050	GRMZM2G369652
EVM0034151	GRMZM2G081653
EVM0013543	GRMZM5G874277
EVM0022786	GRMZM2G073003
EVM0010335	GRMZM2G462325
EVM0000245	GRMZM2G145061
EVM0009381	GRMZM2G131473
EVM0036900	GRMZM2G003038
EVM0036109	GRMZM2G012761
EVM0019679	GRMZM2G046316
EVM0015506	GRMZM2G088162
EVM0018408	GRMZM2G076950
EVM0031749	GRMZM2G070562
EVM0005507	GRMZM2G175797
EVM0022644	GRMZM2G125867
EVM0005210	GRMZM2G009253
EVM0014392	GRMZM2G162725
EVM0030487	GRMZM2G429118
EVM0025253	GRMZM6G613247
EVM0036451	GRMZM2G395114
EVM0018573	GRMZM2G174984
EVM0002365	GRMZM2G014341
EVM0013514	GRMZM2G134130
EVM0001227	GRMZM2G012213
EVM0016254	GRMZM2G346455
EVM0022970	GRMZM2G126586
EVM0011893	GRMZM2G378717
EVM0036047	GRMZM2G058128
EVM0033823	GRMZM2G070807
EVM0016954	GRMZM2G138396
EVM0020890	GRMZM2G100716
EVM0026307	GRMZM2G032266
EVM0035948	GRMZM2G097573
EVM0023597	GRMZM2G125775
EVM0014663	AC211652.4
EVM0007540	GRMZM2G131667
EVM0011416	AC205376.4
EVM0030907	GRMZM2G305406
EVM0003941	GRMZM2G172099
EVM0006043	GRMZM2G080439
EVM0003643	GRMZM2G004128
EVM0024317	GRMZM2G124371
EVM0028186	GRMZM2G052610
EVM0024858	GRMZM2G428555
EVM0012169	GRMZM2G031429
EVM0002776	GRMZM2G375984
EVM0021528	GRMZM2G016084
EVM0000648	GRMZM2G134985
EVM0002535	GRMZM2G117060
EVM0003138	GRMZM2G045714
EVM0003472	GRMZM2G114692
EVM0004223	GRMZM2G039906
EVM0028375	GRMZM2G422938
EVM0000304	GRMZM2G076981
EVM0001596	AC220970.4
EVM0003320	GRMZM2G008859
EVM0031657	GRMZM2G133029
EVM0018502	AC234522.1
EVM0030915	GRMZM2G336583
EVM0012611	GRMZM2G082019
EVM0014982	GRMZM2G151801
EVM0030547	GRMZM2G139396
EVM0017195	AC195864.3
EVM0005739	GRMZM2G005973
EVM0032080	GRMZM2G470048
EVM0018560	GRMZM2G437119
EVM0001477	GRMZM2G023988
EVM0012262	GRMZM2G041394
EVM0028464	GRMZM2G361064
EVM0032233	GRMZM2G056975
EVM0003161	GRMZM2G009060
EVM0026499	GRMZM2G035341
EVM0028079	GRMZM2G181104
EVM0028295	AC194341.4
EVM0018637	GRMZM2G085675
EVM0011639	GRMZM2G109526
EVM0019246	GRMZM2G172098
EVM0011741	GRMZM2G460383
EVM0029852	GRMZM2G040613
EVM0023148	GRMZM2G102829
EVM0016485	GRMZM2G389462
EVM0010985	GRMZM2G017470
EVM0028570	GRMZM2G033267
EVM0006488	GRMZM2G119079
EVM0011333	GRMZM2G084647
EVM0003399	GRMZM2G416105
EVM0022817	GRMZM2G127064
EVM0008399	GRMZM2G152461
EVM0008646	GRMZM2G045433
EVM0021248	GRMZM2G102421
EVM0012580	GRMZM2G149428
EVM0017039	GRMZM2G553314
EVM0021169	GRMZM2G011615
EVM0011186	AC195874.2
EVM0027684	GRMZM2G093065
EVM0028278	GRMZM2G083173
EVM0013243	GRMZM2G124066
EVM0006156	GRMZM2G308106
EVM0005697	GRMZM2G121418
EVM0009638	GRMZM5G881803
EVM0020281	GRMZM2G022181
EVM0032680	GRMZM2G440916
EVM0015286	GRMZM2G153409
EVM0032430	GRMZM2G169270
EVM0035890	GRMZM2G353785
EVM0030812	GRMZM2G086801
EVM0009261	GRMZM2G100872
EVM0021493	GRMZM2G010929
EVM0006660	GRMZM2G062554
EVM0030906	GRMZM2G011173
EVM0010955	GRMZM2G147243
EVM0035423	GRMZM2G160064
EVM0012727	GRMZM2G157329
EVM0026873	GRMZM2G061764
EVM0019939	GRMZM2G147894
EVM0034458	GRMZM2G172239
EVM0026199	GRMZM2G158901
EVM0018062	GRMZM2G081888
EVM0019653	GRMZM2G134284
EVM0020440	GRMZM2G112488
EVM0033160	GRMZM2G145226
EVM0025200	GRMZM2G010433
EVM0020707	AC199782.5
EVM0005509	GRMZM2G115762
EVM0023015	GRMZM2G014187
EVM0031041	GRMZM2G170595
EVM0028336	GRMZM2G393897
EVM0029360	GRMZM2G025536
EVM0024862	GRMZM2G403475
EVM0011636	GRMZM2G155242
EVM0018364	GRMZM2G123128
EVM0031994	GRMZM2G136803
EVM0033720	GRMZM2G045287
EVM0006947	GRMZM2G154839
EVM0031968	GRMZM2G103896
EVM0009749	GRMZM2G035820
EVM0016822	GRMZM2G151955
EVM0013455	GRMZM2G393334
EVM0009944	GRMZM2G085885
EVM0027739	GRMZM2G301642
EVM0009742	GRMZM2G095969
EVM0034729	GRMZM2G088218
EVM0016059	GRMZM2G139160
EVM0028105	GRMZM2G005456
EVM0017990	GRMZM2G392798
EVM0009763	GRMZM2G006736
EVM0033937	GRMZM2G057023
EVM0002029	GRMZM2G353301
EVM0018973	GRMZM2G141731
EVM0017415	GRMZM2G453001
EVM0007730	GRMZM2G141636
EVM0017887	GRMZM2G124644
EVM0007672	GRMZM2G099547
EVM0033748	GRMZM2G062357
EVM0023369	GRMZM2G156739
EVM0025539	GRMZM2G091656
EVM0037310	GRMZM2G021074
EVM0031607	GRMZM2G161658
EVM0022941	GRMZM2G149093
EVM0008584	GRMZM2G306348
EVM0003156	GRMZM2G369629
EVM0027439	GRMZM2G035042
EVM0026034	GRMZM2G456132
EVM0021120	GRMZM2G137984
EVM0013131	GRMZM2G086750
EVM0019609	GRMZM5G844096
EVM0008671	GRMZM2G389070
EVM0007377	GRMZM2G471348
EVM0026868	GRMZM2G073934
EVM0032101	GRMZM2G363474
EVM0013444	GRMZM2G108135
EVM0009906	GRMZM2G038835
EVM0013289	GRMZM2G164759
EVM0033017	GRMZM2G416677
EVM0023025	GRMZM2G406101
EVM0025076	GRMZM5G870170
EVM0024591	AC204711.3
EVM0021531	GRMZM2G450659
EVM0037243	GRMZM2G120257
EVM0029136	GRMZM2G146502
EVM0036861	GRMZM2G122937
EVM0036063	GRMZM2G160454
EVM0028777	GRMZM2G408989
EVM0000330	GRMZM2G480451
EVM0019607	GRMZM2G124739
EVM0009168	GRMZM2G076370
EVM0028424	GRMZM2G006763
EVM0028950	GRMZM2G019974
EVM0004462	GRMZM2G087600
EVM0011492	GRMZM2G015886
EVM0025869	GRMZM2G179097
EVM0003445	GRMZM2G017578
EVM0029522	GRMZM2G092018
EVM0027411	GRMZM2G074821
EVM0036083	GRMZM5G897926
EVM0034491	GRMZM2G134182
EVM0020073	GRMZM2G068179
EVM0021117	GRMZM2G015869
EVM0011414	GRMZM2G110932
EVM0004202	GRMZM2G167156
EVM0022090	GRMZM2G332976
EVM0005711	GRMZM2G044752
EVM0016264	GRMZM2G360681
EVM0013714	GRMZM2G167658
EVM0021602	GRMZM2G110309
EVM0034543	GRMZM2G050333
EVM0024782	GRMZM2G135322
EVM0012967	GRMZM2G364069
EVM0029342	GRMZM2G155123
EVM0024124	GRMZM2G089406
EVM0005142	GRMZM2G028108
EVM0025464	GRMZM2G169747
EVM0015371	GRMZM2G070178
EVM0003837	GRMZM2G127031
EVM0007133	GRMZM2G435294
EVM0012521	GRMZM2G104397
EVM0034447	GRMZM2G166537
EVM0003693	GRMZM2G151200
EVM0030417	GRMZM2G092723
EVM0008683	GRMZM2G069195
EVM0010283	GRMZM2G146292
EVM0037088	GRMZM2G089149
EVM0023799	GRMZM2G033619
EVM0011770	GRMZM2G111017
EVM0034632	GRMZM2G049318
EVM0022764	GRMZM2G139657
EVM0001307	GRMZM2G333861
EVM0027660	GRMZM2G157616
EVM0022772	GRMZM2G422644
EVM0013585	GRMZM2G036340
EVM0035145	GRMZM2G079034
EVM0022323	GRMZM2G143377
EVM0031732	GRMZM5G860226
EVM0009297	GRMZM2G135808
EVM0015577	GRMZM2G077662
EVM0004641	GRMZM2G092327
EVM0027615	GRMZM2G018138
EVM0020482	GRMZM2G067299
EVM0009058	AC187157.4
EVM0026797	GRMZM5G863076
EVM0005409	GRMZM2G010328
EVM0024997	GRMZM2G388892
EVM0037233	AC210892.4
EVM0002749	AC194264.3
EVM0034211	GRMZM2G028980
EVM0006305	AC202439.3
EVM0012069	GRMZM2G131489
EVM0014697	GRMZM2G123791
EVM0029444	GRMZM2G171400
EVM0010039	GRMZM2G116714
EVM0014959	GRMZM2G057441
EVM0032727	GRMZM2G128895
EVM0016246	GRMZM2G445905
EVM0009894	GRMZM2G179146
EVM0019522	GRMZM2G078771
EVM0007999	GRMZM2G158734
EVM0000123	GRMZM5G864407
EVM0009750	GRMZM5G834128
EVM0017107	GRMZM2G054916
EVM0005607	GRMZM5G893252
EVM0001590	GRMZM2G015925
EVM0016141	GRMZM2G093666
EVM0005512	GRMZM2G005036
EVM0017685	AC191071.3
EVM0025414	GRMZM2G162640
EVM0025440	GRMZM2G041878
EVM0026223	GRMZM2G149708
EVM0010993	GRMZM2G158526
EVM0004533	GRMZM2G020544
EVM0003513	GRMZM2G089296
EVM0026712	GRMZM2G114739
EVM0018779	GRMZM2G164113
EVM0001665	GRMZM5G892151
EVM0035667	GRMZM2G398527
EVM0007818	GRMZM2G111113
EVM0006382	GRMZM5G818111
EVM0004844	GRMZM2G089501
EVM0031097	AC233979.1
EVM0021860	GRMZM2G105863
EVM0005914	GRMZM2G327247
EVM0023699	GRMZM2G098496
EVM0022304	GRMZM2G015967
EVM0032827	GRMZM2G089259
EVM0026330	GRMZM2G080174
EVM0020334	GRMZM5G868767
EVM0012068	GRMZM2G012413
EVM0032207	GRMZM2G176270
EVM0036744	GRMZM2G168629
EVM0018593	GRMZM2G031043
EVM0014411	GRMZM2G056369
EVM0036348	GRMZM2G005308
EVM0020252	GRMZM2G178120
EVM0012569	GRMZM2G146862
EVM0003105	GRMZM2G142097
EVM0031990	GRMZM2G087364
EVM0008397	GRMZM2G013588
EVM0013987	GRMZM2G399644
